Month,CPGI,CPGI_YOY,CPGI_Comparative,Agricultural_Products_Index,API_YOY,API_Comparative,Mineral_Products_Index,MPI_YOY,MPI_Comparative,Kerosene_Power_Index,KPI_YOY,KPI_Comparative
2015年01月份,94.4,-4.26%,-1.26%,97.2,-3.38%,-0.31%,88.5,-8.86%,-1.99%,86,-12.60%,-4.23%
2014年12月份,95.6,-3.73%,-0.83%,97.5,-5.98%,0.52%,90.3,-7.86%,-0.66%,89.8,-8.83%,-3.34%
2014年11月份,96.4,-3.21%,-0.52%,97,-9.18%,-0.21%,90.9,-7.90%,-0.76%,92.9,-5.11%,-2.00%
2014年10月份,96.9,-2.81%,-0.76%,97.2,-10.08%,-1.10%,91.6,-7.57%,-0.83%,94.8,-3.17%,-1.38%
2014年09月份,97.64,-1.97%,-0.97%,98.28,-7.89%,-1.42%,92.37,-7.35%,-2.77%,96.13,-2.11%,-2.31%
2014年08月份,98.6,-0.71%,-0.50%,99.7,-5.33%,0.00%,95,-3.02%,-2.36%,98.4,0.14%,-1.01%
2014年07月份,99.1,0.26%,0.20%,99.7,-6.02%,-0.40%,97.3,1.70%,0.83%,99.4,1.65%,0.40%
2014年06月份,98.9,0.82%,0.30%,100.1,-4.12%,-0.60%,96.5,0.73%,0.42%,99,3.56%,0.51%
2014年05月份,98.6,0.92%,0.82%,100.7,-1.66%,2.76%,96.1,-0.41%,0.73%,98.5,4.56%,1.55%
2014年04月份,97.8,-0.10%,0.19%,98,-5.31%,-2.88%,95.4,-1.04%,0.86%,97,2.11%,0.79%
2014年03月份,97.61,-0.70%,-0.09%,100.91,-0.64%,1.42%,94.59,-3.43%,-1.26%,96.24,-1.12%,-0.48%
2014年02月份,97.7,-1.21%,-0.91%,99.5,-5.33%,-1.09%,95.8,-2.34%,-1.34%,96.7,-1.43%,-1.73%
2014年01月份,98.6,-0.30%,-0.70%,100.6,-2.33%,-2.99%,97.1,-0.72%,-0.92%,98.4,0.10%,-0.10%
2013年12月份,99.3,0.91%,-0.30%,103.7,1.77%,-2.90%,98,1.24%,-0.71%,98.5,0.51%,0.61%
2013年11月份,99.6,1.64%,-0.10%,106.8,7.14%,-1.20%,98.7,3.82%,-0.40%,97.9,-1.56%,0.00%
2013年10月份,99.7,2.47%,0.10%,108.1,12.14%,1.31%,99.1,6.56%,-0.60%,97.9,-1.71%,-0.31%
2013年09月份,99.6,3.53%,0.29%,106.7,10.11%,1.32%,99.7,10.29%,1.78%,98.2,-0.30%,-0.06%
2013年08月份,99.31,3.34%,0.48%,105.31,7.20%,-0.74%,97.96,6.50%,2.39%,98.26,1.11%,0.48%
2013年07月份,98.84,2.64%,0.75%,106.09,11.09%,1.62%,95.67,1.45%,-0.14%,97.79,0.19%,2.29%
2013年06月份,98.1,0.62%,0.41%,104.4,7.74%,1.95%,95.8,0.63%,-0.73%,95.6,-4.69%,1.49%
