Month,Current_Export,Current_Export_YOY,Current_Export_Comparative,Current_Import,Current_Import_YOY,Current_Import_Comparative,Total_Export,Total_Export_YOY,Total_Import,Total_Import_YOY
2016年12月份,2094,-6.10%,6.41%,1686,3.10%,10.78%,20974,-7.70%,15875,-5.50%
2016年11月份,1968,0.10%,10.45%,1522,6.70%,17.87%,18972,-7.50%,14221,-6.20%
2016年10月份,1782,-7.30%,-3.43%,1291,-1.40%,-9.40%,17115,-7.70%,12699,-7.50%
2016年09月份,1845,-10.00%,-3.19%,1425,-1.90%,2.87%,15370,-7.50%,11407,-8.20%
2016年08月份,1906,-2.80%,3.17%,1385,1.50%,4.62%,13529,-7.10%,9980,-9.00%
2016年07月份,1847,-4.40%,2.41%,1324,-12.50%,0.11%,11676,-7.40%,8601,-10.50%
2016年06月份,1804,-4.80%,-0.38%,1323,-8.40%,0.91%,9855,-7.70%,7272,-10.20%
2016年05月份,1811,-4.10%,4.80%,1311,-0.40%,3.05%,8138,-7.30%,5963,-10.30%
2016年04月份,1728,-1.80%,7.43%,1272,-10.90%,-2.87%,6366,-7.60%,4654,-12.80%
2016年03月份,1608,11.50%,27.48%,1310,-7.60%,39.98%,4639,-9.60%,3382,-13.50%
2016年02月份,1261,-25.40%,-28.92%,935.5,-13.80%,-18.07%,3033,-17.80%,2074,-16.70%
2016年01月份,1775,-11.20%,-20.84%,1142,-18.80%,-30.41%,1775,-11.20%,1142,-18.80%
2015年12月份,2242,-1.40%,13.66%,1641,-7.60%,14.64%,22766,-2.80%,16821,-14.10%
2015年11月份,1972,-6.80%,2.52%,1431,-8.70%,9.47%,20523,-3.00%,15132,-15.10%
2015年10月份,1924,-7.00%,-6.40%,1308,-18.80%,-9.96%,18551,-2.50%,13702,-15.70%
2015年09月份,2056,-3.70%,4.41%,1452,-20.40%,6.28%,16641,-1.90%,12400,-15.30%
2015年08月份,1969,-5.50%,0.91%,1366,-13.80%,-10.16%,14605,-1.50%,10956,-14.50%
2015年07月份,1951,-8.30%,1.63%,1521,-8.10%,4.56%,12648,-0.80%,9596,-14.60%
2015年06月份,1920,2.80%,0.64%,1454,-6.10%,10.80%,10719,0.90%,8086,-15.60%
2015年05月份,1908,-2.50%,8.18%,1313,-17.60%,-7.69%,8809,0.70%,6636,-17.30%
2015年04月份,1763,-6.40%,21.97%,1422,-16.20%,0.50%,6902,1.60%,5324,-17.30%
2015年03月份,1446,-15.00%,-14.55%,1415,-12.70%,30.32%,5139,4.70%,3902,-17.60%
2015年02月份,1692,48.30%,-15.51%,1086,-20.50%,-22.57%,3694,15.00%,2488,-20.20%
2015年01月份,2003,-3.30%,-11.98%,1402,-19.90%,-21.18%,2003,-3.30%,1402,-19.90%
2014年12月份,2275,9.70%,7.49%,1779,-2.40%,13.18%,23427,6.10%,19603,0.40%
2014年11月份,2117,4.70%,2.32%,1572,-6.70%,-2.65%,21154,5.70%,17829,0.80%
2014年10月份,2069,11.60%,-3.19%,1615,4.60%,-11.64%,19038,5.80%,16267,1.60%
2014年09月份,2137,15.30%,2.50%,1827,7.00%,15.19%,16971,5.10%,14655,1.30%
2014年08月份,2085,9.40%,-2.08%,1586,-2.40%,-4.20%,14835,3.80%,12829,0.60%
